lr,batch_size,optimizer,final_val_loss
0.1,32,Adam,2.3683152198791504
0.1,32,RMSprop,2.839535355567932
0.1,16,Adam,2.8401280641555786
0.1,16,SGD,3.042235255241394
0.1,32,SGD,3.7954976558685303
0.1,16,RMSprop,4.04211750626564
0.01,16,SGD,4.563468635082245
0.01,32,SGD,8.66571593284607
0.01,32,RMSprop,10.414038181304932
0.01,16,RMSprop,13.049946427345276
0.01,16,Adam,14.604449570178986
0.01,32,Adam,20.00488805770874
0.001,16,SGD,23.653210163116455
0.001,32,SGD,28.059053421020508
0.001,16,RMSprop,35.054152965545654
0.001,32,Adam,44.02097034454346
0.001,32,RMSprop,47.31922721862793
0.001,16,Adam,65.88840770721436
